"uuid","start_time","end_time","location_x","location_y","reliability_min","reliability_max","confidence_min","confidence_max","thumbs_up"
"8555e2ce-26ae-3718-9ad5-cbb7b382ffe7","2019-02-04 18:12:00.000 America/Sao_Paulo","2019-02-04 19:11:00.000 America/Sao_Paulo","-46.71438200000007","-23.658975000000037","5","6","0","0","0"
"e8a460b8-9bda-3c98-8fa8-0969378a56b4","2019-02-04 11:47:00.000 America/Sao_Paulo","2019-02-04 12:46:00.000 America/Sao_Paulo","-46.70611099999997","-23.66368200000003","5","5","0","0","0"
"adca7691-9ac6-3d97-ae21-cefb465dd538","2019-02-04 08:04:00.000 America/Sao_Paulo","2019-02-04 09:08:00.000 America/Sao_Paulo","-46.630748000000025","-23.51973500000002","5","7","0","1","2"
"c8aa575e-3592-3669-a7fb-3695f0503196","2019-02-04 09:26:00.000 America/Sao_Paulo","2019-02-04 09:45:00.000 America/Sao_Paulo","-46.74768400000002","-23.51982600000001","5","5","0","0","0"
"1f57b146-1bef-3892-b40c-4645031386ed","2019-02-04 04:55:00.000 America/Sao_Paulo","2019-02-04 05:58:00.000 America/Sao_Paulo","-46.64626099999999","-23.517366999999986","5","7","0","1","2"
"8ad21ebe-bf3d-32c0-9cd2-79cb7987eedd","2019-02-04 03:21:00.000 America/Sao_Paulo","2019-02-04 04:20:00.000 America/Sao_Paulo","-46.67846800000004","-23.665113000000016","5","6","0","0","1"
"8b481e6d-5c62-3d32-99c3-b05aab45683a","2019-02-04 07:41:00.000 America/Sao_Paulo","2019-02-04 09:14:00.000 America/Sao_Paulo","-46.61086100000007","-23.508923999999986","5","6","0","0","1"
"6823c9e9-1274-3359-9bb9-25955f73dfeb","2019-02-04 07:56:00.000 America/Sao_Paulo","2019-02-04 09:13:00.000 America/Sao_Paulo","-46.67863200000008","-23.695075000000024","6","8","0","1","3"
"c30f3b0d-6ded-3281-b4be-5f43b3201202","2019-02-04 08:12:00.000 America/Sao_Paulo","2019-02-04 09:12:00.000 America/Sao_Paulo","-46.559625","-23.511009999999963","5","5","0","0","0"
"da5c98b6-a88c-3cb7-991a-afec7e649f77","2019-02-04 08:17:00.000 America/Sao_Paulo","2019-02-04 08:37:00.000 America/Sao_Paulo","-46.58678299999998","-23.610449000000006","5","5","0","0","0"
"659236e0-5ac8-3341-8b2f-faaaaed1a92c","2019-02-04 09:20:00.000 America/Sao_Paulo","2019-02-04 10:24:00.000 America/Sao_Paulo","-46.73673000000004","-23.531731000000022","5","6","0","0","1"
"76a56cdd-1967-3aed-9543-f6d079bcddd2","2019-02-04 09:32:00.000 America/Sao_Paulo","2019-02-04 10:32:00.000 America/Sao_Paulo","-46.65024200000003","-23.536904999999997","5","5","0","0","0"
"c2b56357-e166-3cdf-9126-dc5e0609ffea","2019-02-04 04:05:00.000 America/Sao_Paulo","2019-02-04 05:04:00.000 America/Sao_Paulo","-46.68609199999995","-23.75604500000001","5","5","0","0","0"
"81de0a55-7b57-3f60-8d5c-ad5fe7c1074f","2019-02-04 04:08:00.000 America/Sao_Paulo","2019-02-04 05:55:00.000 America/Sao_Paulo","-46.630401444444516","-23.523481805555548","5","10","0","2","1"
"8ca4e02c-1ce8-33e6-9eef-0d521ca150ad","2019-02-04 03:23:00.000 America/Sao_Paulo","2019-02-04 04:23:00.000 America/Sao_Paulo","-46.70618800000007","-23.662168","5","6","0","0","1"
"59d709c1-65b3-3202-a829-eb2e26498443","2019-02-04 06:05:00.000 America/Sao_Paulo","2019-02-04 07:25:00.000 America/Sao_Paulo","-46.58185199999992","-23.560437000000036","6","6","0","0","0"
"a509928a-0949-3593-856d-6662648f5551","2019-02-04 03:08:00.000 America/Sao_Paulo","2019-02-04 04:08:00.000 America/Sao_Paulo","-46.600069999999974","-23.53553000000003","5","5","0","0","0"
"10c67d68-aee9-3ef2-9c2a-42f2dcbe985c","2019-02-04 10:24:00.000 America/Sao_Paulo","2019-02-04 11:24:00.000 America/Sao_Paulo","-46.722965999999964","-23.776922999999975","5","7","0","1","1"
"b84cfd96-9c16-3d86-9bde-becf1ea49a96","2019-02-04 09:41:00.000 America/Sao_Paulo","2019-02-04 12:17:00.000 America/Sao_Paulo","-46.62430700000004","-23.513652000000064","5","10","0","4","8"
"ad1e7921-9ba3-359e-ba58-4790da194595","2019-02-04 07:57:00.000 America/Sao_Paulo","2019-02-04 10:14:00.000 America/Sao_Paulo","-46.627481000000145","-23.51849399999995","6","10","0","4","7"
"8780b8e9-11f9-39bc-8753-19e6a8bc6fc6","2019-02-04 09:36:00.000 America/Sao_Paulo","2019-02-04 11:06:00.000 America/Sao_Paulo","-46.55924000000004","-23.51023000000004","5","7","0","1","2"
"61595a89-1d19-399c-a4b0-591bf52374fb","2019-02-04 10:21:00.000 America/Sao_Paulo","2019-02-04 11:22:00.000 America/Sao_Paulo","-46.559300999999934","-23.510297000000023","5","5","0","0","0"
"baecc702-4912-33e9-a165-036cfc4a8794","2019-02-04 08:18:00.000 America/Sao_Paulo","2019-02-04 08:27:00.000 America/Sao_Paulo","-46.696954","-23.606529999999996","6","6","0","0","1"
"bf2374ce-6fca-3719-8ee7-4b7868184cc3","2019-02-04 09:38:00.000 America/Sao_Paulo","2019-02-04 10:37:00.000 America/Sao_Paulo","-46.61056199999998","-23.50906499999998","5","5","0","0","0"
"345ae217-77c6-3390-acbe-e53f750eafef","2019-02-04 09:51:00.000 America/Sao_Paulo","2019-02-04 10:37:00.000 America/Sao_Paulo","-46.58146400000003","-23.611574000000015","5","5","0","0","0"
"b5245ebf-7b98-3bfd-80a7-f17ce8007759","2019-02-04 03:24:00.000 America/Sao_Paulo","2019-02-04 04:23:00.000 America/Sao_Paulo","-46.66750099999994","-23.567790999999964","5","5","0","0","0"
"8f625c3b-cca8-34a5-b787-3a5000126364","2019-02-04 04:26:00.000 America/Sao_Paulo","2019-02-04 05:32:00.000 America/Sao_Paulo","-46.585130999999954","-23.64402799999999","5","10","0","4","8"
"d854bd25-4007-3e41-969b-0cc5e9112837","2019-02-04 06:10:00.000 America/Sao_Paulo","2019-02-04 07:10:00.000 America/Sao_Paulo","-46.66980400000007","-23.515713","5","5","0","0","0"
"cdba9fd2-d639-3957-863a-ff665be95966","2019-02-04 06:41:00.000 America/Sao_Paulo","2019-02-04 07:40:00.000 America/Sao_Paulo","-46.446575","-23.604433999999998","5","5","0","0","0"
"1bc6b820-0445-366e-af4c-668aaad85782","2019-02-04 04:30:00.000 America/Sao_Paulo","2019-02-04 05:32:00.000 America/Sao_Paulo","-46.76510499999996","-23.437934999999985","5","6","0","0","1"
"b00614d1-53ec-399e-aff9-ac1602276c16","2019-02-04 13:09:00.000 America/Sao_Paulo","2019-02-04 14:09:00.000 America/Sao_Paulo","-46.559256","-23.509765000000012","5","7","0","1","1"
"cf98c777-74d5-3144-a809-88042607cd06","2019-02-04 05:40:00.000 America/Sao_Paulo","2019-02-04 06:04:00.000 America/Sao_Paulo","-46.692649999999986","-23.588754999999995","5","10","0","4","9"
"6188406c-5cc8-32e5-b87d-3c1b0b7813e3","2019-02-04 07:51:00.000 America/Sao_Paulo","2019-02-04 07:57:00.000 America/Sao_Paulo","-46.692049","-23.683723000000004","7","10","0","1","4"
"118ddc30-1a51-332d-9d70-9c7de6c325e7","2019-02-04 08:21:00.000 America/Sao_Paulo","2019-02-04 09:15:00.000 America/Sao_Paulo","-46.64165099999995","-23.537775000000007","6","6","0","0","1"
"a20df871-f0b3-36de-a544-2d87b536b816","2019-02-04 08:18:00.000 America/Sao_Paulo","2019-02-04 09:14:00.000 America/Sao_Paulo","-46.608831","-23.509823","5","5","0","0","0"
"69d25dbe-f98e-3ac9-a17f-f82c0aa979f6","2019-02-04 09:04:00.000 America/Sao_Paulo","2019-02-04 09:58:00.000 America/Sao_Paulo","-46.724717000000034","-23.426501000000005","5","5","0","0","0"
